DiseaseID,number
MESH:D006976,1086
MESH:D006977,1087
MESH:D006978,1088
MESH:D006980,1089
MESH:D006981,1090
MESH:D006983,1091
MESH:D006984,1092
MESH:D006985,1093
MESH:D006986,1094
MESH:D006987,1095
MESH:D006988,1096
MESH:D006994,1097
MESH:D006996,1098
MESH:D006998,1099
MESH:D007000,1100
MESH:D007003,1101
MESH:D007006,1102
MESH:D007007,1103
MESH:D007008,1104
MESH:D007009,1105
MESH:D007010,1106
MESH:D007011,1107
MESH:D007012,1108
MESH:D007015,1109
MESH:D007018,1110
MESH:D007019,1111
MESH:D007020,1112
MESH:D007021,1113
MESH:D007022,1114
MESH:D007024,1115
MESH:D007027,1116
MESH:D007035,1117
MESH:D007037,1118
MESH:D007039,1119
MESH:D007040,1120
MESH:D007046,1121
MESH:D007049,1122
MESH:D007057,1123
MESH:D007077,1124
MESH:D007079,1125
MESH:D007105,1126
MESH:D007119,1127
MESH:D007153,1128
MESH:D007154,1129
MESH:D007160,1130
MESH:D007169,1131
MESH:D007172,1132
MESH:D007174,1133
MESH:D007177,1134
MESH:D007228,1135
MESH:D007232,1136
MESH:D007235,1137
MESH:D007238,1138
MESH:D007239,1139
MESH:D007246,1140
MESH:D007247,1141
MESH:D007248,1142
MESH:D007249,1143
MESH:D007251,1144
MESH:D007280,1145
MESH:D007299,1146
MESH:D007319,1147
MESH:D007333,1148
MESH:D007340,1149
MESH:D007383,1150
MESH:D007405,1151
MESH:D007409,1152
MESH:D007410,1153
MESH:D007411,1154
MESH:D007412,1155
MESH:D007414,1156
MESH:D007415,1157
MESH:D007416,1158
MESH:D007417,1159
MESH:D007418,1160
MESH:D007431,1161
MESH:D007443,1162
MESH:D007499,1163
MESH:D007500,1164
MESH:D007511,1165
MESH:D007516,1166
MESH:D007562,1167
MESH:D007565,1168
MESH:D007567,1169
MESH:D007569,1170
MESH:D007571,1171
MESH:D007579,1172
MESH:D007589,1173
MESH:D007592,1174
MESH:D007619,1175
MESH:D007627,1176
MESH:D007634,1177
MESH:D007637,1178
MESH:D007638,1179
MESH:D007642,1180
MESH:D007644,1181
MESH:D007645,1182
MESH:D007647,1183
MESH:D007662,1184
MESH:D007669,1185
MESH:D007673,1186
MESH:D007674,1187
MESH:D007676,1188
MESH:D007680,1189
MESH:D007681,1190
MESH:D007683,1191
MESH:D007690,1192
MESH:D007706,1193
MESH:D007710,1194
MESH:D007713,1195
MESH:D007718,1196
MESH:D007738,1197
MESH:D007744,1198
MESH:D007752,1199
MESH:D007759,1200
MESH:D007762,1201
MESH:D007766,1202
MESH:D007767,1203
MESH:D007775,1204
MESH:D007794,1205
MESH:D007805,1206
MESH:D007806,1207
MESH:D007815,1208
MESH:D007818,1209
MESH:D007819,1210
MESH:D007822,1211
MESH:D007826,1212
MESH:D007829,1213
